StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,BMEStudentLab3,CMP_LAB,CMP_LAB1,CMP_LAB2
-74,-59,-84,-68,-73,-81,-83,-81,0,-67,-67
-66,-58,-75,-71,-70,-81,-83,-88,0,-56,-56
-66,-56,-77,-74,-65,-75,-83,-75,0,-60,-61
-66,-55,-78,-74,-63,-80,-83,-82,0,-60,-52
-73,-59,-76,-74,-68,-82,-86,-83,0,-60,-52
-64,-58,-77,-74,-67,-79,-86,-79,0,-67,-64
-64,-60,-80,-74,-64,-81,-82,-74,0,-67,-65
-78,-60,-84,-72,-70,-78,-82,-87,0,-56,-65
-73,-65,-85,-72,-66,-89,-82,-84,0,-56,-65
-73,-67,-84,-72,-69,-80,-88,-76,0,-67,-62
-81,-54,-72,-72,-66,-81,-87,-88,0,-67,-62
-73,-61,-75,-71,-68,-75,-84,-88,0,-58,-62
-73,-64,-73,-74,-63,-76,-84,-77,0,-55,-57
-73,-64,-77,-71,-67,-81,-91,-77,0,-55,-60
-73,-59,-72,-81,-70,-70,-81,-75,0,-55,-60
-73,-66,-69,-81,-63,-79,-81,-75,0,-52,-54
-73,-66,-69,-70,-60,-76,-82,-85,0,-55,-54
-73,-59,-73,-82,-63,-87,-82,-82,0,-52,-54
-73,-59,-72,-80,-60,-74,-89,-82,0,-57,-57
-73,-53,-80,-69,-66,-78,-85,-87,0,-52,-53
-65,-53,-72,-72,-71,-64,-85,-85,0,-49,-50
-69,-51,-67,-74,-63,-83,-82,-76,0,-51,-54
-69,-59,-71,-74,-64,-82,-81,-78,0,-50,-51
-81,-57,-84,-74,-71,-76,-81,-87,0,-54,-56
-67,-52,-74,-81,-63,-77,-81,-85,0,-69,-53
-67,-65,-69,-81,-56,-67,-81,-82,0,-69,-49
-67,-63,-75,-81,-66,-72,-83,-82,0,-60,-49
-67,-57,-77,-76,-64,-75,-83,-90,0,-55,-55
-67,-69,-66,-87,-63,-70,-87,-86,0,-57,-57
-67,-69,-71,-84,-60,-79,-85,-83,0,-57,-57
-69,-60,-71,-80,-57,-69,-85,-89,0,-53,-52
-72,-56,-73,-80,-63,-78,-76,-84,0,-54,-52
-72,-63,-68,-80,-57,-63,-86,-88,0,-47,-52
-72,-63,-70,-70,-62,-68,-84,-85,0,-49,-52
-68,-56,-65,-74,-58,-68,-84,-86,0,-46,-48
-68,-53,-65,-71,-61,-70,-83,-87,0,-47,-46
-72,-53,-73,-71,-64,-68,-83,-87,0,-53,-51
-70,-59,-68,-73,-61,-66,-83,-92,0,-53,-49
-70,-58,-69,-71,-61,-71,-82,-91,0,-53,-49
-70,-58,-65,-78,-62,-66,-87,-83,0,-53,-49
-65,-59,-66,-71,-64,-75,-87,-83,0,-53,-48
-65,-65,-65,-74,-63,-67,-87,-83,0,-53,-48
-65,-63,-63,-74,-59,-69,-87,-87,0,-53,-48
-69,-59,-59,-74,-60,-67,-87,-89,0,-50,-47
-72,-58,-58,-83,-66,-76,-82,-87,0,-50,-47
-72,-57,-69,-83,-66,-78,-82,-89,0,-35,-47
-72,-61,-62,-83,-66,-72,-82,-91,0,-44,-48
-79,-59,-55,-76,-70,-69,-82,-91,0,-44,-48
-79,-55,-70,-76,-64,-67,-82,-91,0,-48,-48
-79,-57,-65,-76,-66,-69,-89,-86,0,-45,-44
-79,-57,-64,-85,-65,-68,-89,-90,0,-51,-52
-71,-62,-70,-81,-69,-79,-89,-92,0,-50,-50
-71,-62,-59,-81,-70,-68,-80,-92,0,-56,-57
-71,-50,-70,-81,-70,-68,-80,-92,0,-49,-48
-71,-57,-64,-67,-73,-71,-80,-87,0,-57,-48
-71,-59,-58,-67,-73,-77,-74,-87,0,-46,-46
-72,-59,-65,-67,-67,-58,-81,-90,0,-46,-52
-74,-57,-67,-80,-70,-68,-81,-90,0,-46,-52
-74,-58,-69,-80,-63,-68,-81,-86,0,-48,-47
-74,-58,-66,-80,-70,-73,-85,-84,0,-48,-46
-74,-58,-68,-80,-70,-67,-88,-84,0,-48,-46
-74,-61,-69,-80,-68,-74,-84,-90,0,-54,-54
-74,-61,-61,-80,-67,-70,-82,-90,0,-54,-47
-73,-70,-59,-80,-59,-71,-82,-94,0,-48,-47
-72,-63,-61,-71,-58,-69,-82,-91,0,-46,-47
-72,-61,-66,-81,-63,-70,-88,-81,0,-47,-47
-70,-60,-60,-74,-55,-70,-78,-81,0,-47,-47
-70,-62,-72,-79,-57,-68,-78,-85,0,-42,-44
-70,-55,-68,-79,-57,-70,-78,-89,0,-48,-48
-70,-65,-72,-79,-59,-62,-78,-84,0,-48,-48
-73,-63,-76,-79,-55,-86,-78,-81,0,-56,-48
-73,-59,-66,-84,-55,-71,-82,-89,0,-56,-52
-69,-57,-71,-84,-63,-73,-82,-78,0,-60,-58
-68,-60,-71,-82,-64,-73,-82,-87,0,-54,-58
-68,-58,-70,-82,-60,-74,-94,-85,0,-54,-56
-68,-68,-74,-82,-62,-73,-94,-92,0,-54,-56
-68,-73,-72,-81,-65,-76,-94,-84,0,-52,-56
-68,-73,-67,-80,-62,-74,-94,-80,0,-55,-55
-68,-49,-75,-80,-69,-73,-87,-88,0,-55,-55
-68,-49,-79,-80,-62,-83,-85,-86,0,-54,-55
-71,-57,-76,-80,-65,-72,-85,-80,0,-59,-58
-71,-59,-83,-75,-68,-81,-80,-84,0,-59,-58
-66,-59,-69,-75,-67,-80,-84,-86,0,-58,-58
-66,-53,-76,-61,-64,-79,-84,-86,0,-51,-52
-66,-51,-70,-61,-61,-78,-84,-80,0,-51,-52
-66,-60,-74,-61,-66,-78,-81,-82,0,-58,-52
-69,-54,-77,-74,-67,-85,-81,-82,0,-57,-55
-69,-67,-85,-83,-60,-76,-86,-83,0,-57,-56
-69,-67,-79,-75,-66,-77,-87,-84,0,-50,-56
-74,-61,-64,-75,-67,-68,-87,-83,0,-52,-52
-74,-58,-67,-79,-64,-69,-86,-86,0,-52,-57
-74,-62,-66,-79,-63,-72,-86,-79,0,-52,-57
-76,-62,-68,-75,-56,-69,-82,-81,0,-47,-46
-76,-63,-64,-87,-59,-72,-80,-86,0,-47,-47
-76,-55,-67,-87,-60,-70,-75,-84,0,-48,-47
-76,-59,-62,-63,-63,-67,-83,-85,0,-53,-53
-76,-55,-61,-63,-59,-66,-83,-91,0,-53,-51
-76,-57,-70,-64,-59,-74,-90,-82,0,-48,-51
-76,-57,-66,-64,-61,-71,-77,-84,0,-48,-47
-68,-58,-64,-64,-63,-77,-77,-84,0,-48,-48
-68,-55,-64,-73,-61,-67,-83,-88,0,-48,-48
-68,-55,-64,-73,-74,-60,-82,-87,0,-47,-47
-74,-67,-67,-73,-64,-69,-82,-92,0,-43,-42
-69,-54,-61,-75,-66,-70,-82,-90,0,-43,-42
-69,-54,-62,-75,-56,-61,-88,-82,0,-42,-42
-69,-51,-57,-76,-55,-63,-88,-89,0,-48,-46
-65,-59,-65,-79,-64,-73,-88,-85,0,-51,-49
-65,-51,-66,-79,-64,-75,-88,-89,0,-50,-49
-65,-69,-70,-77,-70,-73,-79,-89,0,-50,-46
-65,-57,-72,-77,-64,-68,-79,-88,0,-50,-46
-65,-66,-65,-77,-61,-69,-89,-91,0,-48,-48
-65,-61,-66,-79,-60,-72,-89,-89,0,-47,-47
-71,-61,-62,-80,-58,-70,-89,-88,0,-47,-47
-71,-61,-62,-88,-55,-69,-89,-88,0,-48,-47
-71,-63,-68,-81,-59,-69,-89,-90,0,-43,-44
-71,-65,-67,-73,-62,-69,-89,-84,0,-51,-52
-70,-65,-69,-85,-59,-75,-89,-90,0,-48,-47
-70,-69,-68,-85,-64,-74,-89,-90,0,-47,-47
-68,-62,-65,-85,-59,-78,-85,-87,0,-50,-51
-66,-66,-72,-76,-59,-74,-87,-80,0,-53,-51
-66,-58,-70,-68,-58,-70,-87,-86,0,-53,-53
-67,-66,-70,-68,-64,-73,-82,-86,0,-53,-53
-71,-58,-80,-80,-62,-82,-82,-83,0,-51,-53
-71,-62,-70,-73,-58,-79,-84,-82,0,-50,-47
-71,-62,-68,-73,-56,-75,-84,-87,0,-50,-58
-70,-57,-66,-74,-58,-74,-84,-83,0,-50,-58
-69,-65,-64,-75,-51,-77,-89,-86,0,-56,-57
-69,-67,-76,-75,-64,-80,-89,-79,0,-56,-57
-70,-58,-71,-75,-65,-76,-89,-82,0,-49,-52
-74,-60,-68,-76,-65,-82,-88,-85,0,-57,-60
-74,-64,-78,-76,-65,-82,-88,-82,0,-58,-57
-71,-56,-70,-76,-60,-76,-88,-81,0,-58,-57
-71,-57,-72,-76,-65,-71,-88,-82,0,-57,-55
-71,-58,-73,-70,-65,-70,-88,-82,0,-61,-60
-71,-56,-77,-70,-61,-74,-88,-80,0,-61,-60
-74,-58,-76,-73,-64,-81,-88,-82,0,-52,-52
-74,-58,-74,-81,-70,-75,-88,-84,0,-52,-68
-74,-59,-70,-81,-63,-76,-88,-80,0,-52,-68
-71,-59,-81,-81,-63,-75,-81,-80,0,-55,-68
-70,-63,-71,-79,-66,-80,-81,-79,0,-55,-50
-70,-62,-71,-79,-66,-75,-86,-83,0,-55,-50
-67,-62,-67,-74,-56,-74,-86,-82,0,-47,-50
-70,-68,-70,-75,-58,-72,-86,-78,0,-48,-50
