StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,CMP_LAB1,CMP_LAB2
-88,-48,-87,-85,-87,-91,-68,-78,-71
-88,-57,-93,-90,-87,-90,-68,-78,-71
-88,-62,-93,-90,-87,-90,-89,-78,-71
-83,-62,-90,-90,-87,-84,-89,-78,-71
-84,-57,-90,-90,-87,-84,-89,-78,-88
-84,-60,-88,-90,-87,-84,-89,-78,-88
-84,-61,-88,-90,-87,-84,-89,-78,-88
-84,-58,-88,-90,-87,-84,-83,-78,-88
-83,-53,-85,-90,-87,-85,-83,-78,-88
-83,-60,-92,-90,-87,-85,-81,-89,-88
-85,-57,-86,-90,-87,-88,-84,-87,-83
-85,-58,-85,-90,-87,-88,-84,-81,-85
-85,-58,-85,-90,-87,-87,-85,-81,-86
-85,-56,-92,-90,-87,-89,-84,-79,-79
-85,-52,-92,-90,-87,-91,-84,-83,-79
-81,-45,-89,-89,-87,-90,-84,-83,-79
-81,-49,-88,-89,-87,-90,-84,-83,-79
-81,-64,-89,-89,-87,-90,-84,-83,-87
-81,-64,-93,-89,-87,-89,-84,-83,-87
-81,-62,-85,-89,-87,-87,-84,-83,-87
-81,-62,-85,-89,-87,-92,-84,-80,-87
-91,-58,-85,-89,-87,-92,-83,-80,-86
-91,-54,-87,-89,-87,-89,-83,-88,-84
-91,-56,-86,-89,-87,-84,-83,-88,-80
-91,-58,-86,-89,-87,-84,-83,-88,-80
-91,-62,-88,-91,-87,-84,-81,-70,-71
-82,-55,-89,-88,-87,-84,-81,-80,-82
-83,-55,-91,-88,-87,-84,-87,-78,-84
-83,-66,-90,-88,-87,-93,-84,-90,-84
-83,-61,-90,-88,-87,-93,-81,-90,-84
-83,-61,-92,-88,-87,-93,-81,-83,-82
-83,-66,-89,-88,-87,-93,-87,-83,-82
-87,-58,-89,-93,-87,-93,-87,-83,-83
-88,-56,-89,-93,-87,-91,-83,-83,-83
-86,-66,-88,-93,-87,-87,-84,-87,-84
-86,-57,-88,-93,-87,-91,-84,-87,-84
-86,-55,-91,-93,-87,-91,-83,-85,-82
-86,-55,-90,-93,-87,-91,-80,-79,-88
-83,-56,-86,-86,-87,-91,-81,-79,-88
-83,-56,-93,-91,-87,-91,-84,-79,-84
-83,-56,-87,-91,-87,-89,-86,-81,-86
-83,-61,-90,-91,-86,-89,-77,-84,-86
-83,-56,-86,-89,-86,-89,-86,-85,-83
-83,-56,-91,-89,-86,-89,-86,-82,-83
-83,-56,-87,-89,-86,-93,-80,-83,-79
-84,-61,-91,-89,-86,-89,-80,-83,-92
-84,-61,-89,-89,-89,-89,-80,-83,-92
-84,-55,-90,-89,-89,-89,-86,-71,-72
-84,-59,-86,-89,-90,-89,-86,-83,-72
-84,-49,-87,-89,-90,-89,-73,-70,-79
-80,-49,-90,-90,-90,-89,-85,-77,-78
-80,-51,-86,-90,-90,-93,-85,-77,-78
-79,-53,-92,-90,-90,-93,-84,-75,-78
-79,-54,-87,-90,-90,-93,-82,-75,-78
-79,-67,-89,-90,-90,-90,-91,-81,-83
-79,-66,-93,-90,-90,-90,-90,-81,-86
-79,-56,-89,-90,-90,-90,-84,-81,-83
-79,-56,-88,-90,-90,-89,-84,-81,-83
-88,-58,-91,-90,-90,-89,-84,-81,-83
-88,-58,-88,-90,-90,-88,-84,-81,-86
-88,-58,-90,-90,-90,-88,-83,-81,-83
-88,-57,-86,-90,-90,-90,-83,-81,-83
-88,-58,-83,-90,-90,-89,-83,-81,-83
-88,-56,-90,-90,-90,-89,-83,-83,-83
-88,-59,-90,-90,-90,-89,-83,-86,-83
-88,-56,-91,-90,-87,-93,-83,-86,-83
-88,-61,-90,-90,-87,-93,-88,-88,-85
-88,-54,-90,-91,-91,-92,-88,-75,-74
-78,-61,-92,-86,-91,-87,-84,-75,-74
-80,-57,-93,-86,-91,-86,-78,-81,-85
-80,-64,-87,-91,-91,-90,-78,-81,-85
-80,-63,-90,-91,-91,-91,-86,-81,-86
-80,-63,-90,-84,-91,-89,-83,-85,-84
-80,-63,-93,-86,-88,-89,-80,-84,-87
-80,-62,-93,-86,-88,-91,-83,-84,-87
-80,-54,-88,-86,-88,-92,-83,-81,-82
-85,-54,-84,-87,-88,-92,-83,-70,-71
-85,-53,-90,-87,-88,-92,-65,-74,-75
-85,-52,-89,-87,-87,-88,-65,-74,-75
-85,-45,-93,-87,-87,-88,-79,-74,-75
-84,-56,-90,-87,-87,-88,-84,-78,-75
-84,-55,-88,-87,-87,-88,-84,-81,-82
-84,-54,-87,-87,-90,-88,-84,-81,-85
-86,-53,-87,-87,-91,-88,-84,-81,-79
-86,-63,-89,-89,-91,-91,-87,-75,-79
-86,-57,-91,-89,-91,-92,-87,-76,-73
-86,-54,-89,-81,-91,-90,-82,-71,-69
-87,-53,-89,-81,-91,-93,-82,-71,-72
-87,-54,-89,-90,-86,-92,-82,-71,-79
-82,-58,-88,-90,-86,-94,-82,-71,-79
-82,-51,-89,-79,-86,-84,-81,-80,-79
-82,-51,-91,-86,-86,-84,-68,-81,-78
-82,-48,-88,-92,-86,-87,-73,-83,-82
-79,-51,-91,-89,-86,-87,-86,-78,-81
-79,-54,-92,-89,-86,-96,-74,-78,-81
-79,-54,-88,-82,-86,-86,-81,-78,-81
-79,-60,-89,-90,-86,-91,-81,-80,-84
-83,-60,-94,-91,-86,-91,-81,-80,-89
-83,-55,-89,-91,-86,-92,-81,-82,-89
-82,-55,-89,-91,-89,-88,-81,-82,-86
-82,-54,-88,-91,-89,-88,-74,-82,-86
-82,-58,-88,-91,-89,-92,-82,-76,-77
-82,-60,-89,-91,-89,-93,-77,-88,-77
-79,-59,-86,-84,-87,-89,-85,-88,-77
-75,-57,-88,-87,-85,-92,-85,-88,-77
-75,-64,-89,-87,-85,-91,-85,-88,-77
-84,-54,-89,-89,-85,-92,-85,-85,-88
-84,-54,-90,-88,-85,-90,-85,-85,-88
-84,-56,-94,-92,-85,-88,-85,-83,-80
-79,-47,-91,-86,-85,-94,-85,-71,-77
-79,-49,-90,-85,-85,-90,-85,-71,-77
-85,-65,-95,-85,-85,-90,-89,-88,-88
-85,-58,-92,-85,-89,-88,-87,-83,-81
-85,-58,-90,-85,-89,-88,-79,-69,-70
-85,-57,-87,-85,-89,-90,-89,-78,-73
-83,-63,-89,-91,-88,-89,-90,-71,-79
-78,-57,-93,-91,-86,-88,-86,-82,-91
-80,-55,-88,-91,-86,-90,-81,-77,-77
-80,-57,-90,-91,-86,-89,-81,-83,-80
-73,-51,-91,-91,-86,-90,-77,-71,-70
-73,-49,-87,-82,-77,-88,-66,-71,-70
-73,-47,-85,-80,-77,-89,-72,-67,-67
-73,-56,-90,-80,-87,-89,-72,-67,-67
-73,-57,-88,-80,-87,-91,-72,-84,-67
-73,-54,-89,-80,-80,-90,-75,-69,-69
-78,-46,-90,-82,-80,-89,-69,-68,-67
-78,-45,-91,-82,-85,-90,-84,-70,-68
-78,-55,-92,-89,-89,-94,-84,-70,-68
-77,-50,-86,-87,-89,-88,-78,-67,-68
-72,-48,-87,-87,-89,-88,-80,-79,-68
-82,-52,-92,-87,-89,-88,-71,-74,-74
-82,-53,-92,-87,-89,-86,-85,-72,-79
-82,-55,-86,-86,-89,-88,-85,-81,-76
-75,-54,-91,-86,-89,-89,-82,-73,-73
-75,-56,-91,-86,-88,-86,-84,-76,-80
-75,-68,-92,-86,-88,-88,-84,-76,-80
-75,-49,-91,-86,-88,-89,-87,-82,-75
-75,-56,-86,-86,-88,-87,-87,-82,-82
-75,-58,-86,-86,-88,-89,-72,-78,-78
-87,-58,-89,-86,-89,-90,-84,-69,-69
-78,-63,-87,-86,-85,-85,-77,-69,-69
-78,-57,-87,-86,-85,-94,-90,-78,-72
-78,-54,-87,-86,-85,-84,-72,-79,-82
-78,-64,-90,-86,-85,-88,-83,-79,-82
-78,-64,-89,-92,-85,-89,-83,-71,-78
-82,-53,-90,-92,-88,-95,-82,-83,-78
-82,-69,-90,-90,-88,-88,-85,-86,-79
-82,-48,-90,-90,-88,-93,-85,-86,-76
-82,-51,-88,-90,-88,-88,-87,-86,-83
-82,-59,-88,-90,-88,-90,-86,-86,-83
-82,-57,-90,-90,-88,-88,-86,-86,-83
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
