StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,BMEStudentLab3,CMP_LAB,CMP_LAB1,CMP_LAB2
0,0,0,0,0,0,0,0,0,-81,-86
-81,0,0,-84,-88,0,0,0,0,-83,-83
-69,-69,-88,-82,-88,0,-82,0,0,-82,-84
-73,-73,-90,-84,-88,0,-90,0,0,-82,-84
-73,-67,-90,-76,-89,-93,-87,0,0,-82,-84
-73,-63,-87,-76,-89,-88,-83,0,0,-83,-81
-62,-63,-95,-71,-89,-89,-83,0,0,-79,-81
-63,-63,-87,-73,-87,-86,-85,0,0,-70,-70
-80,-69,-91,-73,-87,-86,-88,0,0,-81,-79
-80,-57,-91,-90,-87,-86,-87,0,0,-82,-83
-79,-63,-88,-90,-87,-89,-84,0,0,-84,-83
-79,-63,-88,-84,-87,-89,-84,0,0,-83,-83
-79,-63,-88,-84,-87,-89,-93,0,0,-83,-83
-83,-70,-90,-91,-87,-89,-93,0,0,-83,-81
-73,-79,-86,-85,-87,-89,-85,0,0,-83,-81
-73,-85,-86,-85,-87,-89,-85,0,0,-83,-81
-73,-85,-86,-85,-87,-89,-88,0,0,-87,-81
-79,-65,-86,-83,-85,-89,-88,0,0,-81,-83
-71,-63,-86,-89,-85,-89,-89,0,0,-81,-83
-88,-68,-86,-86,-85,-89,-89,0,0,-88,-83
-88,-67,-86,-86,-85,-89,-88,0,0,-85,-82
-88,-73,-86,-86,-85,-89,-88,0,0,-89,-82
-88,-73,-86,-86,-85,-89,-88,0,0,-89,-80
-82,-73,-86,-86,-85,-89,-88,0,0,-89,-88
-86,-73,-86,-86,-85,-89,-83,0,0,-89,-88
-80,-72,-86,-86,-85,-89,-86,0,0,-89,-88
0,-82,0,0,0,0,-86,0,0,0,0
-83,-82,0,-87,0,0,-86,0,0,0,0
-77,-82,0,-87,0,0,-86,0,0,0,0
-77,-82,0,-87,0,0,-83,0,0,0,0
-82,-72,0,-87,0,0,-83,0,0,0,0
-79,-72,0,-87,0,0,-87,0,0,0,0
-79,-73,0,-87,0,0,-87,0,0,0,0
-85,-73,0,-87,-85,0,-87,0,0,0,0
-79,-73,0,-86,-85,0,-87,0,0,0,0
-79,-74,0,-86,-85,0,-87,0,0,-76,0
-79,-74,0,-86,-85,0,-87,0,0,-76,0
-88,-74,0,-86,-85,0,-87,0,0,-76,0
-83,-75,0,-90,-85,0,-87,0,0,-76,0
-83,-75,0,-90,-85,0,-87,0,0,-76,0
-85,-81,0,-90,-85,0,-88,0,0,-82,0
-82,-70,0,-89,-85,0,-87,0,0,-83,-87
-82,-71,0,-88,-85,0,-87,0,0,-82,-85
-82,-71,0,-88,-85,0,-87,0,0,-82,-85
-77,-73,0,-86,-85,0,-87,0,0,-82,-89
