StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,BMEStudentLab3,CMP_LAB,CMP_LAB1,CMP_LAB2
-81,-55,-55,-88,-73,-50,-86,0,0,-62,-63
-83,-55,-58,-88,-72,-61,-86,0,0,-62,-63
-84,-70,-60,-88,-72,-55,-86,0,0,-58,-63
-84,-72,-58,-88,-71,-47,-86,0,0,-58,-63
-84,-71,-59,-88,-71,-57,-86,0,0,-67,-63
-89,-71,-58,-87,-75,-54,-86,0,0,-67,-63
-89,-71,-57,-87,-75,-52,-86,0,0,-63,-63
-89,-71,-60,-87,-75,-55,-86,0,0,-67,-65
-83,-71,-56,-87,-77,-51,-87,0,0,-67,-68
-83,-71,-65,-87,-73,-54,-87,0,0,-65,-68
-83,-71,-55,-87,-73,-55,-87,0,0,-65,-68
-87,-73,-57,-88,-75,-56,-87,0,0,-74,-74
-88,-73,-53,-87,-75,-51,-87,0,0,-62,-74
-88,-73,-65,-87,-73,-54,-87,0,0,-62,-74
-88,-73,-58,-87,-76,-59,-87,0,0,-62,-71
-88,-73,-58,-87,-89,-59,-87,0,0,-62,-71
-88,-73,-57,-87,-77,-58,-87,0,0,-71,-71
-88,-76,-56,-87,-77,-62,-87,0,0,-70,-70
-88,-76,-58,-87,-77,-53,-87,0,0,-70,-70
-88,-76,-53,-87,-77,-52,-87,0,0,-65,-64
-88,-70,-54,-87,-76,-50,-87,0,0,-66,-65
-88,-70,-55,-87,-76,-51,-87,0,0,-66,-65
-91,-70,-56,-87,-72,-57,-87,0,0,-66,-65
-91,-70,-61,-87,-72,-61,-87,0,0,-66,-65
-91,-70,-57,-87,-72,-56,-87,0,0,-66,-73
-89,-70,-56,-87,-78,-58,-87,0,0,-73,-73
-89,-70,-61,-87,-75,-53,-87,0,0,-72,-73
-89,-70,-58,-87,-82,-57,-87,0,0,-72,-68
-89,-70,-63,-87,-70,-58,-87,0,0,-71,-68
-86,-70,-55,-87,-80,-56,-87,0,0,-66,-67
-86,-70,-55,-87,-74,-50,-87,0,0,-66,-65
-85,-70,-60,-87,-74,-51,-87,0,0,-66,-65
