StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,BMEStudentLab3,CMP_LAB,CMP_LAB1,CMP_LAB2
-58,-72,-88,-85,0,0,0,0,0,-71,-73
-58,-74,-88,-84,0,0,0,0,0,-71,-73
-56,-70,-88,-79,0,0,-85,0,0,-71,-74
-46,-57,-88,-79,0,0,-90,0,0,-67,-74
-46,-56,-86,-79,0,0,-90,0,0,-68,-74
-46,-58,-86,-62,0,0,-90,0,0,-72,-70
-51,-56,-87,-59,-83,0,-90,0,0,-72,-70
-51,-60,-87,-67,-83,0,-90,0,0,-73,-70
-51,-57,-89,-68,-87,-88,-90,0,0,-72,-71
-57,-66,-89,-68,-87,-88,-91,0,0,-72,-72
-69,-80,-89,-68,-87,-88,-91,0,0,-72,-72
-70,-80,-89,-80,-87,-88,-91,0,0,-72,-72
-70,-79,-89,-86,-87,-88,-91,0,0,-72,-77
-66,-72,-89,-73,-87,-88,-91,0,0,-72,-77
-66,-66,-89,-76,-87,-88,-91,0,0,-69,-70
-66,-67,-86,-72,-87,-88,-86,0,0,-69,-70
-66,-70,-86,-68,-87,-88,-86,0,0,-69,-70
-55,-76,-86,-68,-87,-88,-86,0,0,-69,-70
-55,-72,-86,-65,-87,-88,-86,0,0,-69,-70
-53,-64,-86,-72,-87,-88,-86,0,0,-69,-70
-55,-64,-86,-72,-87,-88,-86,0,0,-69,-70
-58,-73,-86,-68,-87,-88,-86,0,0,-69,-77
-58,-63,-86,-75,-87,-88,-86,0,0,-69,-77
-51,-67,-86,-75,-87,-88,-86,0,0,-69,-77
-51,-69,-86,-71,-87,-88,-86,0,0,-69,-77
-51,-69,-86,-84,-87,-88,-87,0,0,-69,-77
-51,-69,-87,-84,-87,-88,-87,0,0,-69,-77
-64,-68,-87,-85,-87,-88,-87,0,0,-69,-77
-64,-68,-89,-72,-87,-88,-87,0,0,-72,-72
-64,-71,-89,-79,-87,-88,-87,0,0,-72,-72
-69,-68,-89,-75,-87,-88,-87,0,0,-76,-72
-65,-66,-89,-75,-87,-88,-87,0,0,-76,-72
-65,-66,-89,-82,-87,-88,-87,0,0,-76,-72
-60,-69,-89,-82,-87,-88,-87,0,0,-76,-72
-54,-76,-89,-72,-87,-88,-87,0,0,-76,-72
-54,-76,-91,-70,-87,-88,-87,0,0,-76,-72
-54,-72,-91,-75,-87,-88,-87,0,0,-76,-74
-68,-69,-91,-71,-87,-88,-87,0,0,-76,-75
-53,-66,-91,-73,-83,-88,-87,0,0,-75,-75
-53,-54,-84,-65,-83,-88,-84,0,0,-72,-75
-52,-60,-89,-65,-87,-88,-87,0,0,-72,-75
-51,-58,-89,-65,-87,-87,-87,0,0,-72,-68
-51,-58,-90,-60,-87,-88,-87,0,0,-72,-68
-54,-52,-85,-63,-87,-91,-88,0,0,-73,-75
-64,-58,-87,-63,-86,-91,-88,0,0,-68,-68
-64,-50,-87,-66,-86,-86,-88,0,0,-68,-68
-64,-73,-87,-86,-86,-86,-88,0,0,-68,-68
-61,-73,-87,-86,-86,-86,-88,0,0,-68,-68
-58,-78,-87,-81,-86,-86,-88,0,0,-68,-68
-58,-78,-87,-85,-86,-86,-88,0,0,-68,-68
-67,-73,-87,-88,-86,-86,-88,0,0,-68,-68
-64,-75,-87,-88,-86,-86,-88,0,0,-68,-68
-64,-75,-87,-85,-86,-86,-88,0,0,-68,-68
-64,-75,-87,-86,-86,-86,-88,0,0,-68,-68
-69,-77,-87,-83,-86,-86,-88,0,0,-68,-68
-85,-77,-87,-80,-86,-86,-88,0,0,-68,-68
-85,-77,-87,-84,-86,-86,-88,0,0,-68,-68
-66,-68,-87,-84,-86,-86,-86,0,0,-68,-66
-59,-73,-87,-84,-86,-86,-86,0,0,-68,-66
-59,-71,-87,-71,-86,-86,-86,0,0,-68,-66
-59,-67,-86,-71,-86,-86,-90,0,0,-65,-66
-57,-67,-90,-75,-86,-86,-90,0,0,-65,-66
-50,-70,-89,-68,-86,-86,-90,0,0,-74,-66
-50,-69,-91,-62,-86,-86,-90,0,0,-74,-66
-52,-68,-90,-54,-86,-86,-90,0,0,-74,-66
-50,-68,-90,-58,-86,-86,-90,0,0,-74,-66
-50,-67,-90,-54,-86,-86,-90,0,0,-74,-66
-50,-67,-90,-61,-86,-86,-90,0,0,-74,-66
