StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,CMP_LAB1,CMP_LAB2
-64,-46,-84,-79,-76,-86,-79,-66,-67
-64,-54,-86,-79,-76,-84,-69,-66,-67
-63,-50,-86,-69,-76,-88,-69,-69,-67
-63,-48,-85,-74,-76,-86,-69,-69,-67
-63,-52,-87,-69,-76,-87,-69,-69,-69
-59,-55,-89,-69,-76,-90,-69,-64,-67
-66,-52,-89,-67,-76,-87,-69,-67,-67
-66,-47,-87,-67,-76,-89,-69,-67,-67
-62,-49,-86,-67,-79,-88,-69,-64,-67
-56,-45,-87,-65,-79,-84,-69,-67,-67
-73,-53,-86,-67,-85,-85,-69,-65,-64
-63,-46,-83,-65,-85,-84,-69,-65,-64
-53,-48,-83,-68,-85,-86,-69,-67,-68
-57,-56,-89,-80,-85,-88,-69,-67,-69
-69,-54,-87,-67,-81,-86,-69,-67,-69
-69,-44,-88,-67,-81,-89,-69,-66,-69
-64,-51,-88,-67,-83,-87,-69,-71,-67
-66,-57,-86,-66,-83,-85,-69,-63,-63
-67,-51,-82,-68,-83,-91,-69,-63,-63
-67,-52,-87,-75,-83,-83,-69,-63,-63
-67,-47,-85,-75,-83,-87,-70,-67,-63
-67,-44,-84,-73,-85,-87,-70,-67,-67
-62,-46,-89,-63,-85,-86,-69,-68,-67
-62,-48,-89,-61,-85,-88,-63,-66,-67
-65,-54,-83,-70,-72,-85,-73,-65,-64
-67,-48,-87,-74,-70,-86,-73,-65,-64
-67,-47,-81,-74,-70,-79,-73,-60,-60
-67,-54,-86,-75,-80,-85,-69,-70,-68
-68,-60,-85,-79,-80,-85,-69,-72,-71
-70,-54,-90,-68,-80,-86,-67,-72,-67
-67,-54,-86,-68,-80,-88,-67,-72,-67
-72,-53,-88,-82,-85,-89,-67,-67,-65
-66,-55,-87,-82,-84,-90,-77,-72,-71
-66,-56,-82,-70,-81,-85,-77,-72,-70
-59,-53,-87,-67,-80,-91,-77,-70,-72
-57,-53,-89,-67,-80,-88,-77,-70,-68
-57,-55,-86,-69,-80,-87,-73,-68,-68
-60,-54,-83,-65,-80,-85,-73,-68,-69
-60,-54,-89,-65,-80,-88,-73,-68,-70
-57,-55,-88,-70,-80,-87,-71,-68,-70
-59,-50,-89,-72,-82,-88,-72,-68,-70
-67,-55,-89,-67,-81,-85,-74,-67,-70
-65,-51,-85,-67,-81,-86,-74,-64,-65
-64,-50,-85,-58,-81,-86,-74,-66,-67
-62,-57,-86,-58,-87,-90,-74,-67,-68
-62,-52,-84,-72,-85,-87,-68,-67,-77
-69,-58,-88,-66,-85,-89,-67,-67,-77
-61,-49,-86,-66,-85,-86,-69,-69,-77
-57,-53,-84,-66,-85,-86,-69,-69,-70
-60,-66,-88,-70,-84,-87,-67,-73,-72
-70,-52,-87,-70,-85,-87,-69,-73,-65
-63,-55,-88,-68,-85,-93,-69,-65,-67
-61,-53,-93,-61,-81,-92,-69,-67,-67
-60,-53,-88,-67,-81,-84,-82,-67,-70
-64,-53,-87,-67,-85,-87,-72,-63,-64
-64,-59,-83,-67,-85,-88,-72,-63,-72
-63,-62,-87,-69,-85,-88,-72,-63,-72
-61,-51,-88,-72,-84,-88,-70,-69,-72
-65,-53,-85,-73,-81,-90,-71,-69,-70
-64,-55,-85,-71,-81,-89,-72,-69,-72
-56,-58,-88,-71,-81,-88,-72,-73,-72
-56,-60,-89,-71,-84,-87,-72,-73,-72
-54,-59,-87,-66,-84,-91,-72,-70,-71
-54,-55,-88,-67,-85,-89,-72,-70,-69
-62,-52,-91,-67,-79,-86,-72,-68,-66
-70,-53,-90,-65,-79,-88,-72,-72,-72
-57,-57,-86,-73,-79,-89,-72,-72,-71
-55,-53,-90,-63,-83,-85,-77,-68,-66
-55,-58,-90,-66,-83,-93,-85,-66,-65
-59,-58,-88,-65,-83,-93,-85,-65,-68
-66,-57,-90,-83,-83,-87,-71,-74,-75
-63,-55,-86,-71,-83,-87,-71,-69,-70
-60,-55,-90,-66,-83,-88,-71,-69,-65
-71,-53,-89,-65,-70,-80,-71,-57,-65
-68,-54,-86,-72,-81,-91,-71,-68,-68
-62,-58,-87,-66,-81,-91,-71,-68,-68
-63,-49,-84,-64,-69,-86,-80,-62,-63
-66,-51,-85,-66,-79,-87,-80,-62,-64
-66,-58,-90,-66,-79,-88,-80,-62,-64
-56,-58,-88,-66,-88,-89,-80,-74,-64
-56,-58,-89,-76,-88,-87,-80,-63,-63
-56,-57,-86,-67,-79,-90,-71,-64,-64
-52,-59,-90,-67,-81,-86,-75,-75,-74
-51,-58,-89,-61,-81,-91,-75,-67,-68
-52,-54,-90,-61,-80,-87,-75,-65,-63
-54,-54,-81,-66,-80,-83,-82,-68,-63
-58,-52,-84,-57,-81,-85,-83,-67,-68
-68,-51,-88,-58,-83,-92,-83,-67,-68
-54,-65,-88,-60,-82,-90,-83,-67,-68
-54,-58,-95,-61,-82,-90,-83,-68,-68
-48,-60,-92,-61,-82,-89,-83,-76,-68
-61,-60,-90,-55,-82,-87,-83,-70,-67
-60,-53,-89,-59,-82,-86,-83,-66,-64
-59,-57,-93,-64,-82,-91,-83,-66,-64
-57,-53,-88,-64,-82,-89,-83,-66,-65
-64,-53,-87,-62,-82,-86,-83,-66,-65
-60,-57,-87,-62,-82,-93,-83,-69,-72
-60,-57,-90,-67,-78,-93,-83,-69,-69
-55,-57,-86,-81,-78,-87,-83,-69,-71
-55,-54,-83,-67,-78,-90,-83,-62,-60
-65,-57,-83,-67,-81,-86,-84,-58,-58
-65,-50,-83,-71,-81,-86,-84,-57,-56
-65,-54,-82,-71,-81,-84,-84,-58,-57
-65,-51,-85,-69,-81,-90,-73,-64,-63
-66,-51,-84,-73,-71,-86,-72,-64,-63
-63,-49,-88,-73,-78,-85,-71,-62,-66
-66,-46,-87,-72,-78,-92,-71,-67,-66
-61,-50,-85,-72,-76,-82,-71,-58,-58
-61,-52,-90,-70,-76,-89,-71,-58,-66
-61,-54,-88,-80,-76,-90,-82,-83,-82
-68,-50,-86,-76,-76,-86,-83,-70,-82
-57,-51,-87,-70,-76,-88,-70,-67,-67
-64,-50,-87,-70,-76,-87,-70,-67,-70
-64,-48,-87,-72,-77,-87,-72,-68,-68
